review_id,product_id,date,rating,text
rev_PROD-ALPHA-100_001,PROD-ALPHA-100,2025-01-16 22:00:00,5.0,"The battery life is stellar, easily lasting two full days on a single charge. Bezels are razor-thin with beautiful HDR contrast."
rev_PROD-ALPHA-100_002,PROD-ALPHA-100,2025-01-18 14:00:00,5.0,"Unbelievable value for money at this price point. Fluid UI animations, the chipset stays completely cool."
rev_PROD-ALPHA-100_003,PROD-ALPHA-100,2025-01-20 10:00:00,5.0,Worth every single penny spent on this purchase. The camera captures crisp details and punchy natural colors.
rev_PROD-ALPHA-100_004,PROD-ALPHA-100,2025-01-21 20:00:00,5.0,"Charging is blazing fast with 65W, 0 to 80% in 25 minutes. Night mode is magical, crisp photos even in dim lighting. Outdoor brightness is incredible, easily readable in direct sunlight."
rev_PROD-ALPHA-100_005,PROD-ALPHA-100,2025-01-22 08:00:00,5.0,"Bezels are razor-thin with beautiful HDR contrast. Affordable budget device with flagship-grade features. Charging is blazing fast with 65W, 0 to 80% in 25 minutes."
rev_PROD-ALPHA-100_006,PROD-ALPHA-100,2025-01-24 06:00:00,5.0,"Worth every single penny spent on this purchase. Night mode is magical, crisp photos even in dim lighting. Display has an annoying green tint at low brightness levels."
rev_PROD-ALPHA-100_007,PROD-ALPHA-100,2025-01-24 18:00:00,5.0,The 120Hz AMOLED display is silky smooth and vibrant. Performance is blazing fast with zero lag during heavy gaming. Worth every single penny spent on this purchase.
rev_PROD-ALPHA-100_008,PROD-ALPHA-100,2025-01-26 17:00:00,5.0,"Unbelievable value for money at this price point. Night mode is magical, crisp photos even in dim lighting."
rev_PROD-ALPHA-100_009,PROD-ALPHA-100,2025-01-27 16:00:00,5.0,"The 120Hz AMOLED display is silky smooth and vibrant. Charging is blazing fast with 65W, 0 to 80% in 25 minutes."
rev_PROD-ALPHA-100_010,PROD-ALPHA-100,2025-01-28 15:00:00,5.0,"Night mode is magical, crisp photos even in dim lighting. Bezels are razor-thin with beautiful HDR contrast."
rev_PROD-ALPHA-100_011,PROD-ALPHA-100,2025-01-30 02:00:00,5.0,Bezels are razor-thin with beautiful HDR contrast. Portrait lens creates a gorgeous creamy bokeh effect.
rev_PROD-ALPHA-100_012,PROD-ALPHA-100,2025-01-31 21:00:00,5.0,Unbelievable value for money at this price point. Performance is blazing fast with zero lag during heavy gaming. The camera captures crisp details and punchy natural colors.
rev_PROD-ALPHA-100_013,PROD-ALPHA-100,2025-02-01 12:00:00,5.0,"Fluid UI animations, the chipset stays completely cool. Severe battery draining issue after the latest firmware patch."
rev_PROD-ALPHA-100_014,PROD-ALPHA-100,2025-02-02 10:00:00,5.0,"Charging is blazing fast with 65W, 0 to 80% in 25 minutes. Outdoor brightness is incredible, easily readable in direct sunlight."
rev_PROD-ALPHA-100_015,PROD-ALPHA-100,2025-02-03 02:00:00,5.0,"Excellent battery backup, 8 hours of screen-on-time easily. Washed out colors and poor viewing angles. Fluid UI animations, the chipset stays completely cool."
rev_PROD-ALPHA-100_016,PROD-ALPHA-100,2025-02-04 16:00:00,5.0,Portrait lens creates a gorgeous creamy bokeh effect. Washed out colors and poor viewing angles.
rev_PROD-ALPHA-100_017,PROD-ALPHA-100,2025-02-04 22:00:00,4.0,"The phone overheats during basic navigation and gaming drops fps. The battery life is stellar, easily lasting two full days on a single charge. Massively overpriced for what it offers."
rev_PROD-ALPHA-100_018,PROD-ALPHA-100,2025-02-05 09:00:00,5.0,"Excellent battery backup, 8 hours of screen-on-time easily. Portrait lens creates a gorgeous creamy bokeh effect. Cheap plastic feel does not justify this premium cost."
rev_PROD-ALPHA-100_019,PROD-ALPHA-100,2025-02-06 04:00:00,5.0,"Washed out colors and poor viewing angles. Fluid UI animations, the chipset stays completely cool."
rev_PROD-ALPHA-100_020,PROD-ALPHA-100,2025-02-07 14:00:00,5.0,The camera captures crisp details and punchy natural colors. Unbelievable value for money at this price point.
rev_PROD-ALPHA-100_021,PROD-ALPHA-100,2025-02-09 09:00:00,2.0,"The battery life is stellar, easily lasting two full days on a single charge. Massively overpriced for what it offers."
rev_PROD-ALPHA-100_022,PROD-ALPHA-100,2025-02-09 19:00:00,3.0,"Display has an annoying green tint at low brightness levels. Fluid UI animations, the chipset stays completely cool."
rev_PROD-ALPHA-100_023,PROD-ALPHA-100,2025-02-11 07:00:00,2.0,Noticeable lag when switching apps and intense thermal throttling. Affordable budget device with flagship-grade features.
rev_PROD-ALPHA-100_024,PROD-ALPHA-100,2025-02-12 15:00:00,3.0,The charger gets alarmingly warm and the phone dies by afternoon. Unbelievable value for money at this price point. Noticeable lag when switching apps and intense thermal throttling.
rev_PROD-ALPHA-100_025,PROD-ALPHA-100,2025-02-14 01:00:00,2.0,Noticeable lag when switching apps and intense thermal throttling. The camera captures crisp details and punchy natural colors.
rev_PROD-ALPHA-100_026,PROD-ALPHA-100,2025-02-15 18:00:00,2.0,"The battery life is stellar, easily lasting two full days on a single charge. Cheap plastic feel does not justify this premium cost."
rev_PROD-ALPHA-100_027,PROD-ALPHA-100,2025-02-16 13:00:00,3.0,"The charger gets alarmingly warm and the phone dies by afternoon. The shutter lag makes it impossible to capture moving kids or pets. Terrible stuttering in the UI, feels slow and unoptimized."
rev_PROD-ALPHA-100_028,PROD-ALPHA-100,2025-02-18 06:00:00,1.0,Camera photos look washed out and blurry in low light. Worth every single penny spent on this purchase. The phone overheats during basic navigation and gaming drops fps.
rev_PROD-ALPHA-100_029,PROD-ALPHA-100,2025-02-18 15:00:00,4.0,"Unbelievable value for money at this price point. The camera captures crisp details and punchy natural colors. Excellent battery backup, 8 hours of screen-on-time easily."
rev_PROD-ALPHA-100_030,PROD-ALPHA-100,2025-02-19 22:00:00,5.0,"Unbelievable value for money at this price point. Night mode is magical, crisp photos even in dim lighting."
rev_PROD-ALPHA-100_031,PROD-ALPHA-100,2025-02-20 20:00:00,2.0,"Display has an annoying green tint at low brightness levels. Night mode is magical, crisp photos even in dim lighting."
rev_PROD-ALPHA-100_032,PROD-ALPHA-100,2025-02-21 22:00:00,4.0,"Excellent battery backup, 8 hours of screen-on-time easily. Performance is blazing fast with zero lag during heavy gaming."
rev_PROD-ALPHA-100_033,PROD-ALPHA-100,2025-02-23 12:00:00,2.0,"Night mode is magical, crisp photos even in dim lighting. Screen scratches way too easily and refresh rate drops to 60Hz randomly. Excellent battery backup, 8 hours of screen-on-time easily."
rev_PROD-ALPHA-100_034,PROD-ALPHA-100,2025-02-25 09:00:00,5.0,Unbelievable value for money at this price point. The 120Hz AMOLED display is silky smooth and vibrant.
